country_or_region;date;variable;generation_twh
Germany;2016-09-01;Wind and solar;8.43
Germany;2016-10-01;Bioenergy;3.91
Germany;2016-10-01;Clean;20.53
Germany;2016-10-01;Coal;21.76
Germany;2016-10-01;Fossil;32.27
Germany;2016-10-01;Gas;8.89
Germany;2016-10-01;Hydro;1.23
Germany;2016-10-01;Nuclear;7.83
Germany;2016-10-01;Other Fossil;1.62
Germany;2016-10-01;Solar;1.79
Germany;2016-10-01;Wind;5.77
Germany;2016-10-01;Wind and solar;7.56
Germany;2016-11-01;Bioenergy;3.78
Germany;2016-11-01;Clean;21.85
Germany;2016-11-01;Coal;22.56
Germany;2016-11-01;Fossil;32.94
Germany;2016-11-01;Gas;8.53
Germany;2016-11-01;Hydro;1.06
Germany;2016-11-01;Nuclear;7.42
Germany;2016-11-01;Other Fossil;1.85
Germany;2016-11-01;Solar;1.09
Germany;2016-11-01;Wind;8.5
Germany;2016-11-01;Wind and solar;9.59
Germany;2016-12-01;Bioenergy;3.91
Germany;2016-12-01;Clean;21.86
Germany;2016-12-01;Coal;22.44
Germany;2016-12-01;Fossil;34.71
Germany;2016-12-01;Gas;10.2
Germany;2016-12-01;Hydro;1.15
Germany;2016-12-01;Nuclear;6.31
Germany;2016-12-01;Other Fossil;2.07
Germany;2016-12-01;Solar;0.84
Germany;2016-12-01;Wind;9.65
Germany;2016-12-01;Wind and solar;10.49
Germany;2017-01-01;Bioenergy;3.96
Germany;2017-01-01;Clean;19.56
Germany;2017-01-01;Coal;25.52
Germany;2017-01-01;Fossil;39.15
Germany;2017-01-01;Gas;11.56
Germany;2017-01-01;Hydro;0.86
Germany;2017-01-01;Nuclear;5.72
Germany;2017-01-01;Other Fossil;2.07
Germany;2017-01-01;Solar;0.85
Germany;2017-01-01;Wind;8.17
Germany;2017-01-01;Wind and solar;9.02
Germany;2017-02-01;Bioenergy;3.7
Germany;2017-02-01;Clean;21.06
Germany;2017-02-01;Coal;20.41
Germany;2017-02-01;Fossil;30.15
Germany;2017-02-01;Gas;7.83
Germany;2017-02-01;Hydro;0.97
Germany;2017-02-01;Nuclear;4.56
Germany;2017-02-01;Other Fossil;1.91
Germany;2017-02-01;Solar;1.57
Germany;2017-02-01;Wind;10.26
Germany;2017-02-01;Wind and solar;11.83
Germany;2017-03-01;Bioenergy;4.01
Germany;2017-03-01;Clean;23.48
Germany;2017-03-01;Coal;19.93
Germany;2017-03-01;Fossil;28.74
Germany;2017-03-01;Gas;6.8
Germany;2017-03-01;Hydro;1.52
Germany;2017-03-01;Nuclear;4.85
Germany;2017-03-01;Other Fossil;2.01
Germany;2017-03-01;Solar;3.42
Germany;2017-03-01;Wind;9.68
Germany;2017-03-01;Wind and solar;13.1
Germany;2017-04-01;Bioenergy;3.87
Germany;2017-04-01;Clean;22.32
Germany;2017-04-01;Coal;17.97
Germany;2017-04-01;Fossil;25.38
Germany;2017-04-01;Gas;5.55
Germany;2017-04-01;Hydro;1.31
Germany;2017-04-01;Nuclear;4.77
Germany;2017-04-01;Other Fossil;1.86
Germany;2017-04-01;Solar;4.08
Germany;2017-04-01;Wind;8.29
Germany;2017-04-01;Wind and solar;12.37
Germany;2017-05-01;Bioenergy;3.91
Germany;2017-05-01;Clean;23.04
Germany;2017-05-01;Coal;17.86
Germany;2017-05-01;Fossil;25.09
Germany;2017-05-01;Gas;5.5
Germany;2017-05-01;Hydro;2.1
Germany;2017-05-01;Nuclear;5.67
Germany;2017-05-01;Other Fossil;1.73
Germany;2017-05-01;Solar;5.42
Germany;2017-05-01;Wind;5.94
Germany;2017-05-01;Wind and solar;11.36
Germany;2017-06-01;Bioenergy;3.71
Germany;2017-06-01;Clean;25.25
Germany;2017-06-01;Coal;15.04
Germany;2017-06-01;Fossil;21.86
Germany;2017-06-01;Gas;5.14
Germany;2017-06-01;Hydro;2.08
Germany;2017-06-01;Nuclear;6.38
Germany;2017-06-01;Other Fossil;1.68
Germany;2017-06-01;Solar;5.68
Germany;2017-06-01;Wind;7.4
Germany;2017-06-01;Wind and solar;13.08
Germany;2017-07-01;Bioenergy;3.76
Germany;2017-07-01;Clean;22.1
Germany;2017-07-01;Coal;15.8
Germany;2017-07-01;Fossil;24.19
Germany;2017-07-01;Gas;6.75
Germany;2017-07-01;Hydro;2.05
Germany;2017-07-01;Nuclear;5.38
Germany;2017-07-01;Other Fossil;1.64
Germany;2017-07-01;Solar;5.17
Germany;2017-07-01;Wind;5.74
Germany;2017-07-01;Wind and solar;10.91
Germany;2017-08-01;Bioenergy;3.76
Germany;2017-08-01;Clean;23.52
Germany;2017-08-01;Coal;16.25
Germany;2017-08-01;Fossil;21.6
Germany;2017-08-01;Gas;3.89
Germany;2017-08-01;Hydro;2.12
Germany;2017-08-01;Nuclear;7.13
Germany;2017-08-01;Other Fossil;1.46
Germany;2017-08-01;Solar;4.87
Germany;2017-08-01;Wind;5.64
Germany;2017-08-01;Wind and solar;10.51
Germany;2017-09-01;Bioenergy;3.76
Germany;2017-09-01;Clean;22.03
Germany;2017-09-01;Coal;17.77
Germany;2017-09-01;Fossil;24.12
Germany;2017-09-01;Gas;5.08
Germany;2017-09-01;Hydro;2.07
Germany;2017-09-01;Nuclear;6.42
Germany;2017-09-01;Other Fossil;1.27
Germany;2017-09-01;Solar;3.26
Germany;2017-09-01;Wind;6.52
Germany;2017-09-01;Wind and solar;9.78
Germany;2017-10-01;Bioenergy;3.94
Germany;2017-10-01;Clean;28.2
Germany;2017-10-01;Coal;16.33
Germany;2017-10-01;Fossil;23.6
Germany;2017-10-01;Gas;5.85
Germany;2017-10-01;Hydro;1.63
Germany;2017-10-01;Nuclear;7.4
Germany;2017-10-01;Other Fossil;1.42
Germany;2017-10-01;Solar;2.26
Germany;2017-10-01;Wind;12.97
Germany;2017-10-01;Wind and solar;15.23
Germany;2017-11-01;Bioenergy;3.92
Germany;2017-11-01;Clean;23.98
Germany;2017-11-01;Coal;20.09
Germany;2017-11-01;Fossil;29.93
Germany;2017-11-01;Gas;8.38
Germany;2017-11-01;Hydro;1.55
Germany;2017-11-01;Nuclear;6.94
Germany;2017-11-01;Other Fossil;1.46
Germany;2017-11-01;Solar;0.88
Germany;2017-11-01;Wind;10.69
Germany;2017-11-01;Wind and solar;11.57
Germany;2017-12-01;Bioenergy;4.07
Germany;2017-12-01;Clean;28.67
Germany;2017-12-01;Coal;17.94
Germany;2017-12-01;Fossil;26.52
Germany;2017-12-01;Gas;7.04
Germany;2017-12-01;Hydro;1.52
Germany;2017-12-01;Nuclear;7.29
Germany;2017-12-01;Other Fossil;1.54
Germany;2017-12-01;Solar;0.52
Germany;2017-12-01;Wind;15.27
Germany;2017-12-01;Wind and solar;15.79
Germany;2018-01-01;Bioenergy;4
Germany;2018-01-01;Clean;28.17
Germany;2018-01-01;Coal;17.47
Germany;2018-01-01;Fossil;26.2
Germany;2018-01-01;Gas;7.06
Germany;2018-01-01;Hydro;1.81
Germany;2018-01-01;Nuclear;6.72
Germany;2018-01-01;Other Fossil;1.67
Germany;2018-01-01;Solar;0.77
Germany;2018-01-01;Wind;14.87
Germany;2018-01-01;Wind and solar;15.64
Germany;2018-02-01;Bioenergy;3.77
Germany;2018-02-01;Clean;21.48
Germany;2018-02-01;Coal;20.35
Germany;2018-02-01;Fossil;30.83
Germany;2018-02-01;Gas;8.86
Germany;2018-02-01;Hydro;1.5
Germany;2018-02-01;Nuclear;6.12
Germany;2018-02-01;Other Fossil;1.62
Germany;2018-02-01;Solar;1.93
Germany;2018-02-01;Wind;8.16
Germany;2018-02-01;Wind and solar;10.09
Germany;2018-03-01;Bioenergy;4.02
Germany;2018-03-01;Clean;25.53
Germany;2018-03-01;Coal;20.27
Germany;2018-03-01;Fossil;29.15
Germany;2018-03-01;Gas;7.22
Germany;2018-03-01;Hydro;1.49
Germany;2018-03-01;Nuclear;6.19
Germany;2018-03-01;Other Fossil;1.66
Germany;2018-03-01;Solar;2.85
Germany;2018-03-01;Wind;10.98
Germany;2018-03-01;Wind and solar;13.83
Germany;2018-04-01;Bioenergy;3.81
Germany;2018-04-01;Clean;24.94
Germany;2018-04-01;Coal;15.64
Germany;2018-04-01;Fossil;21.09
Germany;2018-04-01;Gas;3.88
Germany;2018-04-01;Hydro;1.69
Germany;2018-04-01;Nuclear;5.21
Germany;2018-04-01;Other Fossil;1.57
Germany;2018-04-01;Solar;5.1
Germany;2018-04-01;Wind;9.13
Germany;2018-04-01;Wind and solar;14.23
Germany;2018-05-01;Bioenergy;3.97
Germany;2018-05-01;Clean;24.22
Germany;2018-05-01;Coal;14.92
Germany;2018-05-01;Fossil;20.22
Germany;2018-05-01;Gas;3.66
Germany;2018-05-01;Hydro;1.67
Germany;2018-05-01;Nuclear;4.9
Germany;2018-05-01;Other Fossil;1.64
Germany;2018-05-01;Solar;6.25
Germany;2018-05-01;Wind;7.43
Germany;2018-05-01;Wind and solar;13.68
Germany;2018-06-01;Bioenergy;3.73
Germany;2018-06-01;Clean;22.51
Germany;2018-06-01;Coal;16.17
Germany;2018-06-01;Fossil;22.21
Germany;2018-06-01;Gas;4.39
Germany;2018-06-01;Hydro;1.47
Germany;2018-06-01;Nuclear;5.8
Germany;2018-06-01;Other Fossil;1.65
Germany;2018-06-01;Solar;5.62
